id,span,label,start,end
111111112,"Stop Islamization of America.
",Slogans,191,221
111111112,We condemn all those whose behaviours and views run counter to our shared values,Black-and-White_Fallacy,476,556
111111112,"Defeat Jihad""",Slogans,785,798
111111112,"the nation that gave the world the Magna Carta is dead"".
",Loaded_Language,958,1015
111111112,"The UK should never become a stage for inflammatory speakers who promote hate.""
",Flag-Waving,1456,1536
111111112,hate preachers,"Name_Calling,Labeling",1810,1824
111111112,"delighted"" with the decision.
",Loaded_Language,2095,2125
111111112,a striking blow against freedom,Loaded_Language,911,942
111111112,so-called land of democracy and freedom of speech,"Name_Calling,Labeling",1738,1787
111111113,hair trigger in single-action mode,Loaded_Language,1396,1430
111111113,"sanctuary"" policy","Name_Calling,Labeling",3082,3099
111111113,"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""",Whataboutism,3828,3985
111111113,"pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.
",Causal_Oversimplification,361,469
111111113,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,""",Causal_Oversimplification,3580,3741
111111113,Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.,Causal_Oversimplification,4865,5007
111111113,a complete travesty of justice.,Loaded_Language,5743,5774
111111113,"BUILD THE WALL!""",Slogans,5775,5791
111111113,firestorm of outrage ,Loaded_Language,259,280
111111113,alien ,Loaded_Language,3658,3664
111111113,The Kate Steinle killer ,"Name_Calling,Labeling",5556,5580
111111122,the biggest political gift possible ,"Exaggeration,Minimisation",170,206
111111122,extremely high-profile episode ,"Exaggeration,Minimisation",3490,3521
111111122,a gang that can’t shoot straight ,"Name_Calling,Labeling",5029,5062
111111122,hazy old-time Hollywood casting,Loaded_Language,5952,5983
111111122,ugly ways ,Loaded_Language,5133,5143
111111122,reality-TV star’s ,"Name_Calling,Labeling",903,921
111111122,Exploding in Trump’s Face,Loaded_Language,24,49
111111122,how badly Trump does his job ,Doubt,449,478
111111122,reflected the reality-TV star’s weakness as a presidential candidate,Doubt,889,957
111111122,Trump hasn’t learned it yet,Doubt,3414,3441
111111122,Trump is easily manipulated by those around him,Doubt,1476,1523
111111122,Trump and his White House staff failed to do their jobs ,Doubt,3993,4049
111111122,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president",Appeal_to_Authority,5531,5655
111111122,cut-of-his-jib test ,Loaded_Language,5780,5800
111111122,cut-of-his-jib test ,Loaded_Language,1637,1657
111111122,someone who hires based on what he thinks someone doing that job should look like,Causal_Oversimplification,5842,5923
111111122,"partisan, conservative judges","Name_Calling,Labeling",6841,6870
111111122,complete hash ,Loaded_Language,343,357
111111122,severe trouble,Loaded_Language,3211,3225
111111122,a slur on all women ,Loaded_Language,4451,4471
111111122,bombshells ,Loaded_Language,6443,6454
111111124,has blasted ,Loaded_Language,2650,2662
111111124,are blasting ,Loaded_Language,4098,4111
111111124,a President who cares about nothing about the country and everything about his narrow self-interest,"Name_Calling,Labeling",4661,4760
111111124,sheer number ,"Exaggeration,Minimisation",3368,3381
111111124,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,Flag-Waving,4622,4760
111111124,Agencies scramble ,Loaded_Language,0,18
111111124,were scrambling ,Loaded_Language,107,123
111111124,has hamstrung the administration for more than 18 months,Loaded_Language,282,338
111111124,disgraced former FBI officials ,"Name_Calling,Labeling",510,541
111111124,fired FBI Special Agent ,"Name_Calling,Labeling",2478,2502
111111124,are touting the president’s order,Loaded_Language,3557,3590
111111124,Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,Causal_Oversimplification,4170,4377
111111124,a red line that must not be crossed ,Loaded_Language,4540,4576
111111124,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,Doubt,4622,4760
111111124,a partisan memo ,"Name_Calling,Labeling",4920,4936
111111124,clear abuse of power,"Name_Calling,Labeling",4144,4164
111111131,despotic leader,"Name_Calling,Labeling",398,413
111111131,brutal dictator,"Name_Calling,Labeling",1978,1993
111111131,our soldiers,Flag-Waving,5905,5917
111111131,brutal,Loaded_Language,4225,4231
111111131,our soldiers,Flag-Waving,5939,5951
111111131,People are going to be very impressed,Black-and-White_Fallacy,1031,1068
111111131,unprecedented,Loaded_Language,84,97
111111131,surreal,Loaded_Language,102,109
111111131,culminated,Loaded_Language,180,190
111111131,fulsome,Loaded_Language,207,214
111111131,triumphant,Loaded_Language,326,336
111111131,extraordinary,Loaded_Language,352,365
111111131,rogue kingdom,"Name_Calling,Labeling",382,395
111111131,dramatic,Loaded_Language,723,731
111111131,forever,"Exaggeration,Minimisation",804,811
111111131,"Trump's gut-driven, norm-shattering tenure.","Name_Calling,Labeling",823,866
111111131,unwavering,Loaded_Language,1191,1201
111111131,unthinkable,Loaded_Language,2661,2672
111111131,acrimonious,Loaded_Language,2729,2740
111111131,big dilemma,Loaded_Language,2913,2924
111111131,big problem,Loaded_Language,2898,2909
111111131,increasing the drama,Loaded_Language,3397,3417
111111131,historic,Loaded_Language,3438,3446
111111131,surreality,Loaded_Language,3739,3749
111111131,hailed,Loaded_Language,4009,4015
111111131,historic,Repetition,4031,4039
111111131,historic,Repetition,5282,5290
111111131,very talented man,"Name_Calling,Labeling",4153,4170
111111131,praising,Loaded_Language,4257,4265
111111131,very talented,Repetition,4340,4353
111111131,brutal dictator,Repetition,4532,4547
111111131,striking,Loaded_Language,4636,4644
111111131,fierce criticism,Loaded_Language,4753,4769
111111131,fearsome renegade,Loaded_Language,4883,4900
111111131,"""absolutely""",Loaded_Language,5175,5187
